Date,ID,Q_1,Q_2,Q_3,Q_4,Q_5,Q_6,Q_7,Q_8,Q_9,Q_10
05/10/2024,114,3,4,2,2,5,3,4,3,1,4
05/10/2024,115,3,4,3,3,3,4,4,2,3,3
05/10/2024,116,3,4,3,4,4,3,3,2,3,5
05/10/2024,117,4,4,3,3,4,5,3,2,2,3
05/10/2024,118,4,1,4,3,4,2,3,4,2,3
05/10/2024,119,2,4,1,4,3,3,3,2,3,4
05/10/2024,120,4,3,2,2,3,3,2,2,2,2
05/10/2024,121,3,2,3,4,3,2,3,3,5,3
05/10/2024,122,2,3,3,5,5,3,4,5,2,1
05/10/2024,123,2,2,4,2,3,2,1,3,4,3
05/10/2024,124,1,5,2,3,3,3,4,2,3,2
05/10/2024,125,4,2,3,3,2,2,3,2,2,1
05/10/2024,126,4,5,3,1,4,4,3,1,2,5
05/10/2024,127,4,4,3,3,4,2,2,3,4,2
05/10/2024,128,3,4,3,4,3,2,3,4,4,4
05/10/2024,129,3,2,5,4,3,2,4,5,2,4
05/10/2024,130,3,3,4,3,3,3,4,2,5,4
05/10/2024,131,4,3,3,3,2,4,4,3,3,4
05/10/2024,132,4,3,3,3,3,4,3,4,2,3
05/10/2024,133,1,2,2,5,5,3,4,4,3,3
05/10/2024,134,2,3,2,3,3,3,3,4,5,3
05/10/2024,135,3,1,3,1,2,4,4,3,3,2
05/10/2024,136,2,3,4,2,2,4,3,3,4,4
05/10/2024,137,2,3,3,3,3,3,1,3,3,3
05/10/2024,138,4,4,3,4,3,2,3,3,3,4
05/10/2024,139,3,4,2,4,3,3,5,3,3,3
05/10/2024,140,3,3,3,2,4,4,3,4,2,4
05/10/2024,141,2,4,2,2,2,4,3,4,2,3
05/10/2024,142,3,4,5,4,3,3,5,3,3,2
05/10/2024,143,3,4,3,2,2,2,3,3,4,5
05/10/2024,144,2,4,4,3,3,2,2,3,4,3
05/10/2024,145,2,4,4,5,2,2,3,4,2,3
05/10/2024,146,3,3,1,2,4,4,2,3,2,2
05/10/2024,147,3,1,3,3,2,4,1,4,3,3
05/10/2024,148,1,2,3,1,3,3,2,5,2,5
05/10/2024,149,3,4,4,3,1,4,4,2,3,4
05/10/2024,150,2,3,2,3,5,2,3,3,3,4
05/10/2024,151,3,3,1,3,3,3,3,4,4,3
05/10/2024,152,2,3,3,2,2,3,2,4,4,3
05/10/2024,153,3,3,3,5,5,2,3,2,4,2
05/10/2024,154,3,4,3,2,1,5,2,1,3,3
05/10/2024,155,5,4,3,2,3,3,5,2,1,4
05/10/2024,156,3,5,4,5,2,3,2,2,3,4
05/10/2024,157,4,3,3,2,2,3,4,4,4,2
05/10/2024,158,3,2,2,3,2,3,3,1,3,4
05/10/2024,159,4,3,3,4,3,4,3,1,2,2
05/10/2024,160,3,4,4,3,2,3,1,1,2,2
05/10/2024,161,4,2,2,3,3,2,3,5,2,5
05/10/2024,162,3,2,4,3,1,3,2,3,3,2
05/10/2024,163,2,2,2,1,3,2,4,2,3,1
05/10/2024,164,4,3,3,3,3,3,4,3,2,3
05/10/2024,165,1,2,3,4,2,3,3,3,3,2
05/10/2024,166,2,3,4,3,1,4,2,4,1,2
05/10/2024,167,4,3,2,2,3,3,3,4,3,5
05/10/2024,168,2,3,3,2,2,3,2,5,5,2
05/10/2024,169,2,2,3,2,3,2,3,2,2,2
05/10/2024,170,5,4,3,3,1,4,3,2,3,5
05/10/2024,171,2,2,3,2,3,1,2,2,2,4
05/10/2024,172,1,2,2,4,3,2,5,2,3,4
05/10/2024,173,4,2,3,2,2,2,4,2,3,4
05/10/2024,174,3,2,5,3,5,3,3,2,3,3
05/10/2024,175,4,4,3,2,1,5,2,3,3,2
05/10/2024,176,4,3,2,3,3,2,5,2,2,1
05/10/2024,177,4,4,4,3,4,5,3,4,2,3
05/10/2024,178,3,3,3,2,3,3,2,4,4,4
05/10/2024,179,2,4,2,2,3,3,4,3,3,4
05/10/2024,180,3,3,2,3,2,3,3,3,1,4
05/10/2024,181,4,2,3,3,4,2,2,1,3,2
05/10/2024,182,3,5,1,2,2,5,1,3,1,3
05/10/2024,183,4,4,3,2,3,2,4,2,3,3
05/10/2024,184,2,3,3,2,3,3,3,3,1,3
05/10/2024,185,3,4,1,4,3,5,5,2,4,4
05/10/2024,186,4,3,1,1,4,3,4,3,2,2
05/10/2024,187,5,4,3,3,3,1,3,3,2,2
05/10/2024,188,4,4,2,4,3,2,2,3,2,3
05/10/2024,189,5,2,3,3,3,1,4,2,2,3
05/10/2024,190,2,4,3,3,3,4,4,2,2,3
05/10/2024,191,2,4,3,3,3,4,3,3,2,3
05/10/2024,192,4,2,3,3,3,4,1,2,2,3
05/10/2024,193,2,3,3,3,1,3,4,4,1,5
05/10/2024,194,2,2,4,4,3,4,1,3,4,4
05/10/2024,195,3,3,5,3,4,4,5,3,4,4
05/10/2024,196,2,4,3,2,4,5,2,1,1,2
05/10/2024,197,2,3,4,4,4,3,4,5,3,3
05/10/2024,198,1,3,4,4,5,4,3,3,4,1
05/10/2024,199,4,3,2,4,2,5,3,3,4,4
05/10/2024,200,1,4,4,3,1,3,3,4,2,4
05/10/2024,201,3,3,2,2,3,2,3,5,3,3
05/10/2024,202,5,3,3,1,4,4,3,4,3,5
05/10/2024,203,3,3,4,4,1,3,3,4,3,4
05/10/2024,204,4,3,2,3,4,2,2,3,4,3
05/10/2024,205,2,4,3,4,1,3,4,1,3,4
05/10/2024,206,2,4,5,4,4,4,3,5,2,4
05/10/2024,207,3,4,3,2,4,3,5,5,3,3
05/10/2024,208,4,2,3,3,3,4,2,2,3,1
05/10/2024,209,3,3,3,5,5,5,2,2,2,4
05/10/2024,210,2,5,3,3,1,2,3,3,2,3
05/10/2024,211,5,3,3,2,2,4,3,2,3,3
05/10/2024,212,2,2,3,3,3,4,3,1,3,3
05/10/2024,213,5,3,2,3,3,3,4,3,1,3
05/10/2024,214,3,4,3,3,4,4,3,4,3,5
05/10/2024,215,2,3,3,3,1,5,5,3,3,3
05/10/2024,216,3,3,4,3,3,2,2,4,2,4
05/10/2024,217,3,2,5,1,5,1,4,4,5,2
05/10/2024,218,2,4,4,3,2,2,4,3,2,3
05/10/2024,219,2,2,4,4,3,3,3,3,3,2
05/10/2024,220,5,3,2,4,3,2,4,3,3,4
05/10/2024,221,4,3,3,4,2,4,3,4,5,5
05/10/2024,222,2,2,3,2,2,3,4,3,4,5
05/10/2024,223,3,1,3,4,3,2,4,3,4,3
05/10/2024,224,2,1,5,4,3,4,4,2,4,2
05/10/2024,225,3,2,4,4,2,3,3,2,3,2
05/10/2024,226,4,3,3,4,1,2,3,4,3,3
05/10/2024,227,4,4,4,3,1,2,4,4,4,3
05/10/2024,228,3,4,3,5,3,3,4,3,3,4
05/10/2024,229,3,3,3,2,3,4,3,3,3,2
05/10/2024,230,5,3,2,4,4,4,5,3,4,3
05/10/2024,231,4,2,3,2,2,2,2,4,4,3
05/10/2024,232,4,3,2,4,5,2,2,2,3,3
05/10/2024,233,3,5,4,3,4,3,2,2,4,1
05/10/2024,234,3,2,4,4,2,1,2,3,3,2
05/10/2024,235,2,5,2,2,3,2,3,4,5,3
05/10/2024,236,2,3,5,4,3,3,4,4,3,2
05/10/2024,237,1,3,3,2,4,2,3,3,2,2
05/10/2024,238,3,5,4,3,2,4,4,3,2,2
05/10/2024,239,2,2,3,3,3,2,5,3,4,2
05/10/2024,240,2,3,2,4,2,4,4,1,2,3
05/10/2024,241,3,2,4,4,3,5,3,3,3,3
05/10/2024,242,3,3,4,5,2,4,3,3,2,4
05/10/2024,243,4,3,2,3,4,4,3,2,4,3
05/10/2024,244,2,3,3,3,5,4,2,1,3,3
05/10/2024,245,4,4,4,1,3,3,4,3,2,1
05/10/2024,246,5,4,2,3,3,3,3,3,3,3
05/10/2024,247,1,3,4,2,4,3,3,4,3,4
05/10/2024,248,3,3,2,5,2,2,3,4,4,1
05/10/2024,249,3,4,2,2,3,3,3,4,3,2
05/10/2024,250,3,3,3,2,4,2,2,3,5,4
05/10/2024,251,2,5,2,4,4,4,2,3,2,3
05/10/2024,252,4,3,4,5,2,4,2,3,3,2
05/10/2024,253,3,4,1,3,4,2,2,2,1,3
05/10/2024,254,3,4,4,4,1,3,3,3,2,3
05/10/2024,255,2,3,3,3,4,2,2,4,4,2
05/10/2024,256,2,4,4,3,4,2,2,1,4,4
05/10/2024,257,2,2,3,3,2,2,3,3,3,1
05/10/2024,258,4,3,3,4,2,3,1,2,4,4
05/10/2024,259,3,3,3,4,4,3,3,3,3,2
05/10/2024,260,2,2,4,3,4,4,3,3,3,4
05/10/2024,261,2,2,2,3,3,4,5,1,2,4
05/10/2024,262,3,2,3,2,5,3,4,3,2,1
05/10/2024,263,2,3,2,4,2,3,3,5,2,2
05/10/2024,264,4,4,3,5,3,2,3,3,3,5
05/10/2024,265,3,4,4,3,4,2,4,2,1,2
05/10/2024,266,2,3,3,4,4,4,3,3,5,3
05/10/2024,267,4,3,1,3,2,2,5,1,3,2
05/10/2024,268,4,2,4,2,4,5,4,4,4,4
05/10/2024,269,3,4,4,4,3,3,3,2,3,4
05/10/2024,270,3,1,3,1,3,3,4,4,3,3
05/10/2024,271,4,3,2,3,3,3,3,3,4,4
05/10/2024,272,3,2,2,4,4,4,4,3,2,1
05/10/2024,273,2,3,4,5,2,4,2,4,4,2
05/10/2024,274,2,5,3,4,1,3,3,3,2,2
05/10/2024,275,1,2,3,3,4,3,2,3,3,3
05/10/2024,276,3,3,3,5,4,3,3,3,3,1
05/10/2024,277,1,2,4,5,4,3,3,2,4,2
05/10/2024,278,3,3,4,3,5,4,4,4,2,2
05/10/2024,279,2,1,3,3,2,3,2,3,4,4
05/10/2024,280,2,3,2,3,4,3,2,2,3,3
05/10/2024,281,3,2,3,2,3,3,4,2,3,2
05/10/2024,282,3,2,1,3,3,4,3,3,4,4
05/10/2024,283,4,4,3,3,2,4,2,3,1,2
05/10/2024,284,4,4,3,3,2,3,3,4,2,4
05/10/2024,285,3,3,4,4,2,3,2,2,4,3
05/10/2024,286,3,3,3,5,3,3,1,1,2,4
05/10/2024,287,2,3,2,3,1,2,4,4,3,1
05/10/2024,288,4,3,4,2,3,4,3,2,2,4
05/10/2024,289,4,4,3,3,3,3,2,4,4,4
05/10/2024,290,3,3,2,3,3,5,1,4,3,4
05/10/2024,291,3,4,4,2,4,2,1,3,3,4
05/10/2024,292,2,3,3,2,3,2,2,4,3,1
05/10/2024,293,3,4,4,1,5,5,3,4,3,4
05/10/2024,294,2,4,4,5,2,3,3,4,5,5
05/10/2024,295,4,3,2,2,3,4,2,4,4,1
05/10/2024,296,3,4,4,4,2,3,2,4,2,2
05/10/2024,297,4,5,2,3,5,3,5,4,3,2
05/10/2024,298,4,2,3,2,3,2,3,5,3,3
05/10/2024,299,3,2,3,3,3,3,1,2,4,3
05/10/2024,300,3,2,3,4,1,4,3,4,5,2
05/10/2024,301,3,5,4,2,3,4,3,2,2,2
05/10/2024,302,3,2,5,3,2,1,2,3,4,3
05/10/2024,303,3,3,4,4,3,3,1,5,2,4
05/10/2024,304,3,3,2,4,3,1,3,4,3,4
05/10/2024,305,4,1,3,2,5,3,2,4,3,2
05/10/2024,306,3,3,5,3,1,3,2,3,1,4
05/10/2024,307,4,2,4,2,3,3,4,3,4,3
05/10/2024,308,3,3,3,3,3,3,3,3,2,3
05/10/2024,309,2,4,3,3,2,4,2,4,3,1
05/10/2024,310,3,3,2,4,4,2,3,3,3,3
05/10/2024,311,4,2,2,2,2,4,3,2,2,3
05/10/2024,312,3,3,3,2,2,3,3,3,1,3
05/10/2024,313,2,3,4,2,2,3,2,4,5,4
05/10/2024,314,3,5,3,4,5,2,2,4,3,1
05/10/2024,315,5,3,2,4,3,4,3,2,4,2
05/10/2024,316,4,2,3,3,2,3,4,3,2,2
05/10/2024,317,3,2,4,1,3,4,3,3,3,4
05/10/2024,318,1,2,4,4,2,2,2,3,3,4
05/10/2024,319,3,3,2,1,3,2,5,1,2,1
05/10/2024,320,3,4,4,3,4,3,3,3,3,3
05/10/2024,321,2,2,3,4,2,4,1,3,3,4
05/10/2024,322,3,3,5,4,2,4,3,5,1,5
05/10/2024,323,4,3,3,4,2,2,4,5,5,3
05/10/2024,324,3,3,4,2,3,4,2,4,5,3
05/10/2024,325,4,3,4,2,3,3,2,4,4,3
05/10/2024,326,4,4,4,4,4,1,1,4,3,3
05/10/2024,327,3,3,3,3,2,4,3,3,2,3
05/10/2024,328,3,4,3,2,3,4,4,3,3,3
05/10/2024,329,3,3,3,1,3,3,5,3,3,4
05/10/2024,330,2,1,4,4,2,5,3,4,3,3
05/10/2024,331,3,2,2,2,3,3,3,2,2,3
05/10/2024,332,4,4,2,3,1,4,3,4,3,2
05/10/2024,333,4,3,2,3,4,5,3,4,2,3
05/10/2024,334,5,2,2,3,4,3,4,4,4,1
05/10/2024,335,4,4,4,3,4,4,3,3,4,4
05/10/2024,336,3,2,3,5,4,2,1,2,3,2
05/10/2024,337,4,3,2,4,1,3,5,3,3,4
05/10/2024,338,4,4,3,4,4,3,3,3,4,2
05/10/2024,339,4,3,3,3,3,4,1,5,3,3
05/10/2024,340,3,2,1,3,1,3,3,2,4,4
05/10/2024,341,5,4,3,2,2,2,4,4,4,4
05/10/2024,342,3,2,2,2,3,4,2,5,3,2
05/10/2024,343,3,3,3,3,1,2,3,3,3,4
05/10/2024,344,4,3,2,3,2,3,3,3,3,2
05/10/2024,345,3,4,2,4,2,3,2,4,3,3
05/10/2024,346,4,2,3,2,3,4,3,3,4,2
05/10/2024,347,5,4,2,4,3,3,3,1,4,3
05/10/2024,348,1,4,3,3,4,2,4,2,4,4
05/10/2024,349,1,3,3,2,4,3,3,2,4,4
05/10/2024,350,5,2,4,3,2,2,1,2,3,1
05/10/2024,351,3,3,3,3,4,5,2,4,4,3
05/10/2024,352,3,2,3,1,2,3,4,4,2,2
05/10/2024,353,3,4,2,2,5,3,1,3,4,3
05/10/2024,354,1,2,3,2,2,2,2,3,1,4
05/10/2024,355,3,3,4,4,3,3,3,3,2,5
05/10/2024,356,4,2,2,3,2,4,5,2,4,4
05/10/2024,357,3,3,3,1,3,2,1,3,3,5
05/10/2024,358,2,3,3,2,3,5,3,3,2,3
05/10/2024,359,3,2,3,3,3,3,3,5,4,3
05/10/2024,360,2,3,3,2,4,3,5,2,3,3
05/10/2024,361,3,2,3,4,2,2,3,3,4,5
05/10/2024,362,1,3,2,2,2,3,3,3,4,2
05/10/2024,363,4,3,2,3,3,2,4,4,5,2
05/10/2024,364,3,1,2,2,1,1,4,4,4,3
05/10/2024,365,3,3,5,3,3,2,2,3,4,3
05/10/2024,366,4,2,4,4,4,2,3,4,4,4
05/10/2024,367,4,3,3,5,1,3,3,4,3,3
05/10/2024,368,2,4,4,3,3,3,1,3,2,3
05/10/2024,369,4,3,5,3,4,3,2,3,2,3
05/10/2024,370,2,4,3,4,4,5,1,4,1,3
05/10/2024,371,3,3,4,3,3,4,5,4,1,3
05/10/2024,372,4,4,1,4,3,3,4,2,3,4
05/10/2024,373,2,4,3,3,2,3,3,1,3,3
05/10/2024,374,3,3,3,3,2,2,4,3,5,3
05/10/2024,375,2,4,3,4,3,4,3,2,3,3
05/10/2024,376,3,2,3,4,3,2,3,2,5,4
05/10/2024,377,2,3,3,3,4,3,3,3,2,4
05/10/2024,378,3,1,4,2,3,4,2,2,3,2
05/10/2024,379,2,2,5,2,4,1,3,3,2,2
05/10/2024,380,5,5,3,1,2,3,3,4,4,1
05/10/2024,381,3,3,4,2,3,3,4,3,3,3
05/10/2024,382,1,3,2,1,1,2,4,4,1,3
05/10/2024,383,3,4,4,1,3,5,3,5,3,2
05/10/2024,384,3,5,4,1,2,2,2,3,3,4
05/10/2024,385,3,4,3,5,4,3,4,5,2,3
05/10/2024,386,2,3,2,3,3,1,2,3,3,4
05/10/2024,387,3,3,3,5,3,5,3,3,1,4
05/10/2024,388,3,5,2,1,2,2,4,4,3,3
05/10/2024,389,3,4,3,3,3,4,3,3,3,2
05/10/2024,390,4,3,4,2,2,3,4,1,3,1
05/10/2024,391,3,4,3,4,2,3,4,4,1,2
05/10/2024,392,2,2,3,2,2,3,4,3,2,3
05/10/2024,393,3,2,3,1,3,2,3,2,2,2
05/10/2024,394,4,4,3,3,3,2,4,3,3,4
05/10/2024,395,3,4,3,3,3,2,3,3,3,2
05/10/2024,396,3,4,3,3,3,3,3,5,3,3
05/10/2024,397,3,4,3,4,2,4,5,4,3,2
05/10/2024,398,1,3,4,4,5,5,2,3,2,2
05/10/2024,399,5,3,4,4,3,3,3,4,2,3
05/10/2024,400,3,3,2,3,3,4,5,4,3,2
05/10/2024,401,2,3,4,3,2,3,2,3,4,3
05/10/2024,402,3,4,4,5,3,3,4,3,2,3
05/10/2024,403,3,4,1,2,3,3,2,3,2,3
05/10/2024,404,4,3,3,3,3,2,3,3,3,2
05/10/2024,405,4,4,2,4,2,2,1,3,3,5
05/10/2024,406,4,4,2,1,4,4,4,3,5,2
05/10/2024,407,5,4,4,4,4,2,3,3,2,3
05/10/2024,408,4,3,3,2,3,2,3,2,2,2
05/10/2024,409,5,2,2,5,4,2,5,2,2,2
05/10/2024,410,3,1,2,3,3,2,3,4,2,2
05/10/2024,411,2,3,4,2,4,3,4,4,5,2
05/10/2024,412,2,2,3,3,3,5,3,3,1,3
05/10/2024,413,1,3,3,4,1,4,2,4,2,3
05/10/2024,414,5,2,5,1,2,5,4,3,5,3
05/10/2024,415,3,3,3,2,5,1,3,4,3,2
05/10/2024,416,2,4,3,5,2,4,4,3,3,5
05/10/2024,417,5,2,2,2,4,3,3,2,2,2
05/10/2024,418,2,3,3,2,2,3,2,3,4,1
05/10/2024,419,3,1,4,1,3,2,2,4,5,2
05/10/2024,420,3,1,3,2,5,1,2,2,1,3
05/10/2024,421,4,2,3,3,3,1,3,1,3,3
05/10/2024,422,3,3,2,4,3,3,2,4,2,4
05/10/2024,423,2,4,4,1,4,4,4,5,2,4
05/10/2024,424,3,3,4,4,3,3,2,3,2,4
05/10/2024,425,2,2,3,1,2,4,4,4,2,3
05/10/2024,426,3,5,3,2,3,3,2,2,3,3
05/10/2024,427,5,3,3,2,4,3,4,1,2,4
05/10/2024,428,2,4,4,2,3,4,4,4,3,2
05/10/2024,429,3,5,4,3,4,4,4,3,1,3
05/10/2024,430,5,3,3,3,4,3,3,2,4,3
05/10/2024,431,3,4,1,4,3,4,3,4,3,3
05/10/2024,432,3,2,4,4,2,5,4,3,1,3
05/10/2024,433,2,3,3,2,1,5,4,3,3,3
05/10/2024,434,2,3,3,2,4,4,3,2,5,2
05/10/2024,435,2,3,3,2,2,4,1,2,2,4
05/10/2024,436,3,2,4,4,3,2,3,4,2,3
05/10/2024,437,2,2,4,3,2,3,1,3,2,2
05/10/2024,438,5,2,2,4,3,2,3,3,3,3
05/10/2024,439,3,3,5,1,4,2,3,4,2,2
05/10/2024,440,3,3,3,2,2,1,5,3,3,3
05/10/2024,441,4,4,2,3,3,3,2,2,2,3
05/10/2024,442,4,2,4,3,3,3,4,3,3,3
05/10/2024,443,4,4,3,4,4,3,5,5,3,3
05/10/2024,444,2,1,4,3,3,4,3,2,2,4
05/10/2024,445,2,2,2,3,3,3,1,4,4,3
05/10/2024,446,4,4,2,3,4,3,2,3,2,3
05/10/2024,447,4,3,1,4,1,5,3,4,3,2
05/10/2024,448,2,4,3,3,2,3,4,3,4,3
05/10/2024,449,3,3,2,3,3,2,3,4,4,4
05/10/2024,450,3,2,3,5,3,2,4,3,2,1
05/10/2024,451,2,2,2,2,3,4,2,3,3,3
05/10/2024,452,2,4,4,1,3,3,3,3,4,3
05/10/2024,453,3,2,3,1,3,4,4,3,2,5
05/10/2024,454,4,2,4,3,3,3,4,4,3,2
05/10/2024,455,3,5,4,3,2,3,1,3,3,4
05/10/2024,456,5,5,3,3,4,4,3,2,2,2
05/10/2024,457,2,1,1,3,4,3,3,4,2,4
05/10/2024,458,2,3,2,4,3,4,3,3,2,2
05/10/2024,459,4,4,3,3,3,4,2,2,4,2
05/10/2024,460,4,3,3,3,4,4,3,2,3,2
05/10/2024,461,2,2,3,3,5,3,2,5,3,2
05/10/2024,462,4,1,2,4,3,3,2,3,2,2
05/10/2024,463,3,3,4,4,3,2,5,3,3,2
05/10/2024,464,3,2,2,4,4,3,2,4,5,3
05/10/2024,465,4,3,3,3,4,2,2,3,5,3
05/10/2024,466,4,4,5,3,4,4,4,3,4,5
05/10/2024,467,3,3,1,3,4,2,3,2,2,5
05/10/2024,468,2,2,4,3,4,3,3,3,4,2
05/10/2024,469,3,2,3,2,3,2,1,3,3,3
05/10/2024,470,4,2,4,2,3,3,2,2,2,1
05/10/2024,471,3,2,3,5,2,2,4,1,2,2
05/10/2024,472,4,4,4,5,4,1,5,2,4,3
05/10/2024,473,4,5,1,3,3,4,4,2,2,4
05/10/2024,474,2,2,3,5,3,2,1,2,5,5
05/10/2024,475,4,2,1,1,4,3,3,3,3,3
05/10/2024,476,1,3,4,2,2,3,2,3,4,3
05/10/2024,477,4,3,4,2,3,3,3,5,4,3
05/10/2024,478,3,3,1,4,3,3,2,4,3,3
